 Optimized Parameter
a1 = ,       0.149156
a2 = ,       0.098013
a3 = ,       0.089679
a4 = ,       0.006176
b1 = ,       0.062405
b2 = ,       0.128128
z1 = ,      83.438858
z2 = ,      11.320376
z3 = ,      83.853088
s1 = ,      19.948133
s2 = ,       4.009008
s3 = ,       3.630394
Er = ,   46602.371094
NS = ,       0.818794

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s)
  272,   0.21690,  11.10000,   9.62480
  273,   0.20430,  11.31000,   9.66150
  274,   0.19270,  11.13000,   9.69632
  275,   0.22770,  10.32000,   9.72921
  276,   0.19000,  10.24000,   9.76012
  277,   0.18110,  10.20000,   9.78899
  278,   0.22710,  10.20000,   9.81587
  279,   0.22880,  10.05000,   9.84083
  280,   0.19900,  10.05000,   9.86388
  281,   0.18040,  10.05000,   9.88501
  282,   0.16760,  10.05000,   9.90422
  283,   0.15650,  10.01000,   9.92148
  284,   0.14690,  10.01000,   9.93679
  285,   0.13840,  10.01000,   9.95014
  286,   0.13080,   9.22000,   9.96152
  287,   0.12400,   9.22000,   9.97094
  288,   0.11780,   9.13000,   9.97839
  289,   0.11270,   8.45000,   9.98391
  290,   0.10750,   8.40000,   9.98750
  291,   0.10280,   8.60000,   9.98918
  292,   0.09850,   8.60000,   9.98900
  293,   0.09450,   8.68000,   9.98698
  294,   0.09090,   8.68000,   9.98316
  295,   0.08750,   8.04000,   9.97758
  296,   0.08440,   8.08000,   9.97028
  297,   0.08150,   7.75000,   9.96131
  298,   0.13050,   8.53000,   9.95081
  299,   0.19540,   7.85000,   9.93903
  300,   0.27900,   7.82000,   9.92634
  301,   0.32500,   8.00000,   9.91313
  302,   0.31050,   7.78000,   9.89971
  303,   0.32400,   8.38000,   9.88633
  304,   0.29390,   8.64000,   9.87317
  305,   0.25750,   8.32000,   9.86029
  306,   0.23400,   8.91000,   9.84770
  307,   0.21450,   9.49000,   9.83536
  308,   0.19790,   8.56000,   9.82322
  309,   0.18350,   8.56000,   9.81120
  310,   0.17090,   8.87000,   9.79922
  311,   0.15980,   8.87000,   9.78720
  312,   0.14990,   8.83000,   9.77503
  313,   0.14170,   8.70000,   9.76263
  314,   0.13350,   8.12000,   9.74993
  315,   0.12620,   8.40000,   9.73685
  316,   0.11960,   8.52000,   9.72331
  317,   0.11350,   7.89000,   9.70925
  318,   0.10800,   8.42000,   9.69462
  319,   0.10300,   8.34000,   9.67937
  320,   0.09850,   8.15000,   9.66345
  321,   0.09430,   8.10000,   9.64684
  322,   0.09040,   8.03000,   9.62949
  323,   0.08690,   7.96000,   9.61140
  324,   0.08370,   7.82000,   9.59254
  325,   0.16720,   7.79000,   9.57306
  326,   0.38250,   8.25000,   9.55349
  327,   0.32620,   8.53000,   9.53415
  328,   0.33620,   8.00000,   9.51532
  329,   0.29080,   7.93000,   9.49713
  330,   0.25360,   8.03000,   9.47964
  331,   0.22840,   8.64000,   9.46281
  332,   0.20880,   8.28000,   9.44660
  333,   0.21550,   8.46000,   9.43096
  334,   0.17810,   8.03000,   9.41580
  335,   0.16570,   8.18000,   9.40099
  336,   0.15490,   8.39000,   9.38644
  337,   0.15020,   8.00000,   9.37202
  338,   0.14040,   8.43000,   9.35765
  339,   0.13180,   8.18000,   9.34323
  340,   0.12420,   8.08000,   9.32866
  341,   0.11740,   7.71000,   9.31387
  342,   0.11120,   8.25000,   9.29876
  343,   0.10570,   8.15000,   9.28327
  344,   0.10060,   8.18000,   9.26734
  345,   0.18520,   7.64000,   9.25109
  346,   0.42980,   7.57000,   9.23504
  347,   0.67710,   7.67000,   9.22010
  348,   0.91250,   7.71000,   9.20742
  349,   1.12330,   8.02000,   9.19829
  350,   1.25470,   9.26000,   9.19399
  351,   1.26320,   9.90000,   9.19552
  352,   1.16160,  11.82000,   9.20344
  353,   1.00480,  12.74000,   9.21789
  354,   0.89600,  15.61000,   9.23870
  355,   0.80820,  17.43000,   9.26552
  356,   0.73470,  15.65000,   9.29786
  357,   0.67100,  16.09000,   9.33517
  358,   0.61520,  17.35000,   9.37686
  359,   0.56570,  15.25000,   9.42230
  360,   0.52160,  14.61000,   9.47086
  361,   0.51460,  14.17000,   9.52200
  362,   0.47160,  14.64000,   9.57517
  363,   0.43370,  11.36000,   9.62983
  364,   0.39990,  11.21000,   9.68546
  365,   0.36960,  12.87000,   9.74158
  366,   0.34240,  11.77000,   9.79773
  367,   0.31780,  11.43000,   9.85350
  368,   0.29550,  11.01000,   9.90851
  369,   0.31330,  14.26000,   9.96250
  370,   0.54780,  12.62000,  10.01567
  371,   0.76490,  11.49000,  10.06861
  372,   1.01790,  11.70000,  10.12226
  373,   1.25280,  11.82000,  10.17779
  374,   1.40070,  13.22000,  10.23644
  375,   1.44610,  16.09000,  10.29922
  376,   1.30110,  16.35000,  11.16572
  377,   1.17950,  18.13000,  12.83560
  378,   1.04200,  18.48000,  13.75209
  379,   0.92320,  22.23000,  14.10447
  380,   0.83440,  24.94000,  14.09267
  381,   0.75850,  21.93000,  13.82202
  382,   0.69230,  21.36000,  13.36917
  383,   0.63390,  20.54000,  12.79143
  384,   0.58200,  19.79000,  12.13216
  385,   0.56350,  19.01000,  11.52586
  386,   0.51560,  18.35000,  11.21857
  387,   0.47320,  18.83000,  11.30839
  388,   0.43550,  17.16000,  11.39702
  389,   0.40170,  17.16000,  11.48405
  390,   0.37140,  16.11000,  11.56911
  391,   0.34400,  15.76000,  11.65185
  392,   0.31930,  15.16000,  11.73198
  393,   0.40130,  15.09000,  11.80941
  394,   0.76730,  14.49000,  11.88477
  395,   1.03390,  14.53000,  11.95908
  396,   1.28560,  14.37000,  12.03364
  397,   1.48680,  14.83000,  12.76781
  398,   1.60650,  17.28000,  16.02506
  399,   1.63310,  18.29000,  18.87346
  400,   1.53290,  20.77000,  20.91700
  401,   1.32820,  22.55000,  21.90408
  402,   1.16070,  25.69000,  22.13998
  403,   1.02930,  26.97000,  21.87675
  404,   0.92730,  26.22000,  21.30138
  405,   0.83980,  26.92000,  20.51636
  406,   0.76370,  24.06000,  19.59636
  407,   0.69680,  23.58000,  18.59597
  408,   0.63760,  22.30000,  17.55552
  409,   0.64090,  21.23000,  16.70886
  410,   0.57990,  20.69000,  15.78971
  411,   0.52720,  20.17000,  14.83932
  412,   0.48110,  19.79000,  13.88613
  413,   0.44030,  19.52000,  13.62537
  414,   0.40420,  19.01000,  13.71291
  415,   0.37190,  18.45000,  13.79728
  416,   0.34310,  18.11000,  13.87826
  417,   0.42060,  16.45000,  13.95584
  418,   0.65300,  16.45000,  14.03047
  419,   0.89460,  16.45000,  14.10297
  420,   1.11380,  16.45000,  14.17444
  421,   1.30000,  17.26000,  14.54588
  422,   1.38880,  19.30000,  17.06017
  423,   1.43170,  20.59000,  19.34158
  424,   1.36430,  23.09000,  21.02586
  425,   1.20940,  24.19000,  21.88998
  426,   1.04560,  24.45000,  22.03309
  427,   0.89780,  25.33000,  21.62897
  428,   0.80100,  25.32000,  20.95105
  429,   0.71980,  24.65000,  20.09966
  430,   0.65010,  24.47000,  19.14400
  431,   0.58950,  24.78000,  18.13336
  432,   0.53650,  22.39000,  17.10364
  433,   0.52530,  21.79000,  16.20980
  434,   0.47480,  22.37000,  15.30500
  435,   0.43110,  21.79000,  15.38184
  436,   0.39300,  21.36000,  15.45599
  437,   0.35940,  20.55000,  15.52719
  438,   0.32980,  20.30000,  15.59519
  439,   0.30340,  18.95000,  15.65975
  440,   0.30380,  19.19000,  15.72072
  441,   0.62570,  19.07000,  15.77859
  442,   1.07750,  18.00000,  15.83462
  443,   1.38090,  18.83000,  15.89041
  444,   1.64100,  18.60000,  17.41541
  445,   1.84070,  19.64000,  21.37853
  446,   1.94290,  22.51000,  25.09306
  447,   1.92430,  23.70000,  28.15976
  448,   1.67610,  26.56000,  29.84580
  449,   1.40600,  27.30000,  30.29305
  450,   1.20560,  28.01000,  29.95436
  451,   1.05240,  30.58000,  29.12760
  452,   0.93510,  27.98000,  28.02143
  453,   0.83590,  29.35000,  26.74600
  454,   0.75110,  27.71000,  25.38022
  455,   0.67780,  27.36000,  23.97970
  456,   0.61390,  24.50000,  22.58348
  457,   0.60090,  25.53000,  21.37579
  458,   0.54000,  25.56000,  20.15085
  459,   0.48770,  23.74000,  18.94203
  460,   0.44230,  23.48000,  17.77114
  461,   0.40260,  20.43000,  17.32091
  462,   0.36760,  22.09000,  17.39080
  463,   0.33670,  21.38000,  17.45685
  464,   0.31070,  20.52000,  17.51889
  465,   0.47360,  21.10000,  17.57711
  466,   0.93500,  23.90000,  17.63254
  467,   1.23350,  22.03000,  17.68661
  468,   1.43190,  21.65000,  18.86413
  469,   1.56980,  21.52000,  21.88946
  470,   1.69100,  23.86000,  24.88340
  471,   1.58060,  26.49000,  27.00714
  472,   1.34400,  26.19000,  27.94033
  473,   1.08280,  27.54000,  27.78415
  474,   0.94450,  28.33000,  27.16138
  475,   0.81680,  33.31000,  26.18501
  476,   0.72370,  32.96000,  25.03736
  477,   0.64570,  31.05000,  23.80028
  478,   0.57940,  31.26000,  22.53007
  479,   0.52230,  28.68000,  21.26484
  480,   0.47270,  28.58000,  20.03041
  481,   0.46650,  26.24000,  18.97949
  482,   0.42150,  25.56000,  18.66409
  483,   0.37700,  25.17000,  18.72191
  484,   0.34150,  25.53000,  18.77645
  485,   0.31060,  22.80000,  18.82747
  486,   0.28360,  24.12000,  18.87476
  487,   0.26020,  22.51000,  18.91814
  488,   0.25030,  21.53000,  18.95746
  489,   0.37620,  22.15000,  18.99289
  490,   0.98530,  22.85000,  19.02572
  491,   1.39080,  21.62000,  19.05774
  492,   1.62210,  23.71000,  19.09087
  493,   1.74020,  24.15000,  22.24285
  494,   1.88490,  25.78000,  26.08258
  495,   1.77590,  27.53000,  28.92031
  496,   1.58490,  30.27000,  30.61854
  497,   1.33140,  32.88000,  31.13241
  498,   1.12190,  33.92000,  30.81230
  499,   0.92150,  36.76000,  29.82474
  500,   0.80020,  34.25000,  28.56474
  501,   0.70440,  33.98000,  27.16827
  502,   0.62460,  33.87000,  25.71482
  503,   0.55720,  30.85000,  24.25794
  504,   0.49960,  28.97000,  22.83310
  505,   0.49580,  26.65000,  21.63071
  506,   0.47860,  26.86000,  20.56553
  507,   0.39090,  24.85000,  19.92842
  508,   0.37520,  26.85000,  19.97953
  509,   0.31620,  28.66000,  20.02726
  510,   0.31520,  28.30000,  20.07142
  511,   0.26400,  24.22000,  20.11177
  512,   0.28590,  25.17000,  20.14819
  513,   0.71680,  24.81000,  20.18140
  514,   1.31020,  22.72000,  20.21312
  515,   1.65300,  22.94000,  20.24539
  516,   1.94740,  23.73000,  24.73970
  517,   2.09530,  27.18000,  29.13072
  518,   2.16010,  26.41000,  33.06594
  519,   2.10240,  28.63000,  36.17322
  520,   1.81770,  31.59000,  37.75814
  521,   1.42460,  32.41000,  37.66951
  522,   1.18670,  33.53000,  36.74156
  523,   0.96640,  35.37000,  35.17241
  524,   0.83010,  34.56000,  33.37042
  525,   0.72700,  34.79000,  31.49307
  526,   0.63750,  34.61000,  29.60103
  527,   0.57770,  31.68000,  27.80398
  528,   0.50340,  29.82000,  26.03275
  529,   0.51520,  30.40000,  24.59644
  530,   0.44770,  29.16000,  23.15113
  531,   0.39350,  27.75000,  21.74590
  532,   0.34870,  27.28000,  21.26413
  533,   0.31100,  26.11000,  21.31273
  534,   0.27900,  26.32000,  21.35694
  535,   0.25330,  25.75000,  21.39658
  536,   0.29960,  24.88000,  21.43166
  537,   0.94160,  24.88000,  21.46338
  538,   1.37690,  23.85000,  21.49356
  539,   1.69950,  24.22000,  23.03816
  540,   1.98130,  24.58000,  27.47963
  541,   2.10040,  26.44000,  31.65283
  542,   1.82250,  27.32000,  34.15377
  543,   1.21440,  30.33000,  34.04607
  544,   0.95960,  32.06000,  33.03669
  545,   0.78360,  33.46000,  31.55701
  546,   0.66460,  33.61000,  29.88958
  547,   0.57400,  33.22000,  28.16721
  548,   0.50100,  32.02000,  26.46198
  549,   0.43940,  31.13000,  24.81180
  550,   0.38840,  31.88000,  23.24562
  551,   0.34530,  29.67000,  22.08183
  552,   0.33140,  28.93000,  22.12206
  553,   0.31140,  30.07000,  22.15871
  554,   0.40340,  29.57000,  22.19177
  555,   0.24520,  26.18000,  22.22097
  556,   0.21770,  27.93000,  22.24607
  557,   0.19610,  26.39000,  22.26688
  558,   0.17710,  29.06000,  22.28323
  559,   0.16810,  25.65000,  22.29502
  560,   0.15560,  24.60000,  22.30219
  561,   0.15370,  24.69000,  22.30472
  562,   0.21560,  24.95000,  22.30275
  563,   0.46850,  25.07000,  22.29690
  564,   2.57570,  25.77000,  22.29159
  565,   3.41830,  25.45000,  25.84287
  566,   4.21420,  28.71000,  38.08178
  567,   3.44720,  31.26000,  45.57433
  568,   2.46610,  34.51000,  48.30252
  569,   1.68420,  37.42000,  47.75739
  570,   1.32210,  40.67000,  45.99491
  571,   0.96350,  42.81000,  43.22189
  572,   0.72800,  43.15000,  40.04800
  573,   0.57090,  42.24000,  36.82196
  574,   0.45490,  38.90000,  33.70044
  575,   0.36830,  41.93000,  30.77237
  576,   0.30930,  35.55000,  28.10592
  577,   0.21970,  34.44000,  25.54602
  578,   0.20750,  33.44000,  23.35669
  579,   0.16620,  31.69000,  23.01790
  580,   0.16450,  31.28000,  23.05972
  581,   0.13330,  29.51000,  23.09581
  582,   0.13640,  31.26000,  23.12601
  583,   0.11930,  27.63000,  23.15024
  584,   0.17860,  26.29000,  23.16858
  585,   0.41040,  27.25000,  23.18158
  586,   0.70990,  26.50000,  23.19028
  587,   0.91730,  26.75000,  23.19596
  588,   1.51660,  25.01000,  23.20077
  589,   1.74640,  26.31000,  23.20689
  590,   1.68860,  26.81000,  25.88165
  591,   1.45680,  26.67000,  28.20430
  592,   0.82540,  28.08000,  27.85596
  593,   0.64250,  28.03000,  26.90090
  594,   0.52610,  27.67000,  25.67849
  595,   0.46560,  31.11000,  24.43492
  596,   0.37640,  21.08000,  23.32065
  597,   0.34890,  24.24000,  23.33887
  598,   0.28260,  30.39000,  23.35550
  599,   0.28240,  28.29000,  23.37004
  600,   0.22040,  24.68000,  23.38201
  601,   0.19770,  24.13000,  23.39098
  602,   0.19250,  24.91000,  23.39664
  603,   0.16060,  24.24000,  23.39869
  604,   0.14630,  24.80000,  23.39692
