 Optimized Parameter
a1 = ,       0.143042
a2 = ,       0.130756
a3 = ,       0.107708
a4 = ,       0.009635
b1 = ,       0.082909
b2 = ,       0.044447
z1 = ,      47.891003
z2 = ,      58.731998
z3 = ,       4.241359
s1 = ,       2.155989
s2 = ,      15.021837
s3 = ,      36.030895
Er = ,  126894.093750
NS = ,       0.915985

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s)
  390,   0.20520,   7.37000,  11.26567
  391,   0.19730,   7.56000,  11.07779
  392,   0.18990,   7.65000,  10.88665
  393,   0.18280,   7.54000,  10.69294
  394,   0.17610,   9.63000,  10.49739
  395,   0.16970,   6.53000,  10.30067
  396,   0.16380,   7.00000,  10.10348
  397,   0.17660,   7.54000,   9.91259
  398,   0.23420,   7.54000,   9.74817
  399,   0.27620,   7.20000,   9.62042
  400,   0.28570,   7.20000,   9.52603
  401,   0.27620,   7.76000,   9.45569
  402,   0.26430,  11.98000,   9.40101
  403,   0.25310,   1.93000,   9.35551
  404,   0.24250,  12.30000,   9.31422
  405,   0.23250,   7.00000,   9.27341
  406,   0.22310,   7.00000,   9.23034
  407,   0.21410,   7.20000,   9.18306
  408,   0.20570,   6.40000,   9.13027
  409,   0.20170,   6.67000,   9.07249
  410,   0.19370,   6.38000,   9.00886
  411,   0.18620,   2.50000,   8.93894
  412,   0.17900,   6.43000,   8.86255
  413,   0.17230,   5.59000,   8.77979
  414,   0.16590,   6.54000,   8.69091
  415,   0.15980,  11.91000,   8.59628
  416,   0.15400,   5.97000,   8.49635
  417,   0.14860,   7.00000,   8.39166
  418,   0.15470,   2.00000,   8.28653
  419,   0.17510,   6.32000,   8.18910
  420,   0.18460,   6.53000,   8.10199
  421,   0.21210,   6.53000,   8.03313
  422,   0.27070,   6.53000,   7.99887
  423,   0.29850,   7.00000,   8.00128
  424,   0.15450,   6.53000,   7.98423
  425,   0.12400,   6.53000,   7.94199
  426,   0.11580,   7.00000,   7.87782
  427,   0.11210,  10.20000,   7.79603
  428,   0.10860,   8.91000,   7.70028
  429,   0.10530,   8.17000,   7.59362
  430,   0.10210,   8.40000,   7.47862
  431,   0.09910,   8.20000,   7.40898
  432,   0.09630,   8.31000,   7.40450
  433,   0.09590,   8.19000,   7.39949
  434,   0.09320,   8.15000,   7.39392
  435,   0.09060,   8.37000,   7.38775
  436,   0.08810,   8.01000,   7.38093
  437,   0.08580,   8.31000,   7.37344
  438,   0.08360,   7.84000,   7.36525
  439,   0.08150,   7.95000,   7.35634
  440,   0.07960,   7.54000,   7.34669
  441,   0.24390,   8.17000,   7.33651
  442,   0.35350,  11.99000,   7.32613
  443,   0.42560,   7.54000,   7.31591
  444,   0.81270,   8.91000,   7.30671
  445,   0.63760,   8.17000,   7.29902
  446,   0.50770,   8.17000,   7.29309
  447,   0.36330,  10.08000,   7.28893
  448,   0.25540,  10.08000,   7.31247
  449,   0.20460,  10.08000,   7.66645
  450,   0.15640,  10.08000,   7.92701
  451,   0.14950,  12.10000,   8.10925
  452,   0.14310,  20.17000,   8.22609
  453,   0.13710,  10.08000,   8.28848
  454,   0.13150,  10.08000,   8.30579
  455,   0.12630,  14.29000,   8.28596
  456,   0.12140,  13.58000,   8.23577
  457,   0.12050,  13.07000,   8.16218
  458,   0.11570,  10.48000,   8.06959
  459,   0.11130,  13.90000,   7.96180
  460,   0.10720,  13.39000,   7.84205
  461,   0.10330,  11.96000,   7.71309
  462,   0.09960,   9.81000,   7.57720
  463,   0.09620,   1.58000,   7.43636
  464,   0.09310,  10.08000,   7.29228
  465,   0.23240,  10.08000,   7.28300
  466,   0.14800,  10.08000,   7.27970
  467,   0.22550,  10.08000,   7.27614
  468,   0.33160,  10.08000,   7.27257
  469,   0.39010,  10.08000,   7.26925
  470,   0.45730,   1.78000,   7.26652
  471,   0.48440,  11.84000,   7.40908
  472,   0.50250,  20.17000,   7.68983
  473,   0.70040,  10.08000,   8.07428
  474,   0.48200,  10.08000,   8.46226
  475,   0.45630,  14.35000,   8.83986
  476,   0.43220,  14.27000,   9.19688
  477,   0.40960,  10.08000,   9.52613
  478,   0.38850,  10.38000,   9.82283
  479,   0.36860,  14.84000,  10.08404
  480,   0.35000,  14.80000,  10.30834
  481,   0.35140,  14.63000,  10.50172
  482,   0.33280,  14.18000,  10.66258
  483,   0.31540,  11.74000,  10.79043
  484,   0.29920,   5.11000,  10.88571
  485,   0.28390,  11.60000,  10.94943
  486,   0.26960,  14.92000,  10.98310
  487,   0.25620,  11.81000,  10.98856
  488,   0.24370,  10.38000,  10.96786
  489,   0.23190,  14.74000,  10.92314
  490,   0.24790,  11.75000,  10.86565
  491,   0.37070,  11.58000,  10.83995
  492,   0.46990,  11.07000,  10.87257
  493,   0.55670,  10.38000,  10.97939
  494,   0.64410,  10.38000,  11.17214
  495,   0.70820,  20.77000,  11.45118
  496,   0.71280,  20.77000,  11.79594
  497,   0.70850,  20.77000,  12.18661
  498,   0.66800,  10.62000,  12.59513
  499,   0.62990,  18.31000,  13.00020
  500,   0.59440,  21.73000,  13.38609
  501,   0.56110,  19.22000,  13.74152
  502,   0.52990,  10.38000,  14.05875
  503,   0.50080,  21.72000,  14.33289
  504,   0.47350,  17.94000,  14.56126
  505,   0.47400,  16.54000,  14.75157
  506,   0.44660,  17.36000,  14.90100
  507,   0.42100,  16.43000,  15.00843
  508,   0.39720,  16.11000,  15.07409
  509,   0.37500,  15.06000,  15.09916
  510,   0.35420,  14.75000,  15.08554
  511,   0.33490,  10.13000,  15.03565
  512,   0.31930,  11.11000,  14.95305
  513,   0.35790,  10.38000,  14.85897
  514,   0.50170,  10.80000,  14.80523
  515,   0.66970,  10.86000,  14.83987
  516,   0.64550,  11.78000,  14.93522
  517,   0.82050,  10.38000,  15.13543
  518,   0.95690,  10.38000,  15.46085
  519,   1.03990,  10.38000,  15.90806
  520,   1.04010,  10.77000,  16.44537
  521,   0.97600,  10.77000,  17.02550
  522,   0.91410,  21.86000,  17.61180
  523,   0.85660,  22.02000,  18.17708
