 Optimized Parameter
a1 = ,       0.129861
a2 = ,       0.092130
a3 = ,       0.071060
a4 = ,       0.026365
b1 = ,       0.105627
b2 = ,       0.168369
z1 = ,      24.357044
z2 = ,      69.882225
z3 = ,     181.698578
s1 = ,       2.889612
s2 = ,       5.905749
s3 = ,       5.659482
Er = ,   80414.484375
NS = ,       0.665571

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s)
  426,   0.22350,  10.31000,   9.62164
  427,   0.20490,  11.32000,   9.52192
  428,   0.18880,  11.26000,   9.43042
  429,   0.17470,   8.76000,   9.34570
  430,   0.16230,  10.31000,   9.26637
  431,   0.15130,   9.73000,   9.19116
  432,   0.14140,  10.86000,   9.11890
  433,   0.14090,   9.99000,   9.04869
  434,   0.13160,  10.68000,   8.97972
  435,   0.12320,   9.05000,   8.91124
  436,   0.11570,   9.16000,   8.84261
  437,   0.10890,   9.21000,   8.77328
  438,   0.10280,   8.77000,   8.70278
  439,   0.09740,   8.92000,   8.63076
  440,   0.09240,   7.90000,   8.55693
  441,   0.08800,   8.55000,   8.48110
  442,   0.08390,   8.27000,   8.40313
  443,   0.08030,   8.04000,   8.32295
  444,   0.20180,   8.45000,   8.24271
  445,   0.32810,   7.95000,   8.16623
  446,   0.42650,   9.33000,   8.09793
  447,   0.50160,   8.36000,   8.04214
  448,   0.46640,   6.93000,   8.00114
  449,   0.41150,   8.18000,   7.97526
  450,   0.36710,   8.32000,   7.96361
  451,   0.33030,   9.75000,   7.96459
  452,   0.29910,   8.04000,   7.97618
  453,   0.27230,   7.39000,   7.99618
  454,   0.24890,   8.73000,   8.02238
  455,   0.22840,   8.87000,   8.05267
  456,   0.21030,   8.41000,   8.08509
  457,   0.20110,   7.93000,   8.11798
  458,   0.18540,   8.01000,   8.14986
  459,   0.17150,   8.23000,   8.17941
  460,   0.15910,   8.35000,   8.20550
  461,   0.14800,   8.31000,   8.22719
  462,   0.13810,   6.95000,   8.24373
  463,   0.12910,   7.95000,   8.25453
  464,   0.12110,   7.72000,   8.25915
  465,   0.11390,   7.92000,   8.25730
  466,   0.10740,   7.45000,   8.24882
  467,   0.11990,   7.49000,   8.23396
  468,   0.32230,   7.37000,   8.21660
  469,   0.54330,   7.14000,   8.20349
  470,   0.56210,   8.69000,   8.19972
  471,   0.55320,   8.19000,   8.20862
  472,   0.54870,   6.23000,   8.23222
  473,   0.51340,   7.80000,   8.27099
  474,   0.45580,   8.41000,   8.32388
  475,   0.40760,   9.52000,   8.38895
  476,   0.36700,  10.02000,   8.46373
  477,   0.33220,   7.21000,   8.54558
  478,   0.30200,   8.83000,   8.63185
  479,   0.27560,   9.02000,   8.72000
  480,   0.25230,   7.72000,   8.80770
  481,   0.23240,   9.12000,   8.89289
  482,   0.21390,   8.92000,   8.97378
  483,   0.19740,   8.22000,   9.04885
  484,   0.18270,   7.81000,   9.11684
  485,   0.16950,   8.27000,   9.17674
  486,   0.15760,   7.21000,   9.22781
  487,   0.14700,   7.93000,   9.26947
  488,   0.13740,   8.10000,   9.30138
  489,   0.12880,   7.76000,   9.32335
  490,   0.12090,   7.46000,   9.33532
  491,   0.13580,   7.38000,   9.33776
  492,   0.17450,   7.18000,   9.33190
  493,   0.25830,   7.67000,   9.32031
  494,   0.36390,   8.27000,   9.30683
  495,   0.51910,   6.15000,   9.29700
  496,   0.53710,   7.99000,   9.29506
  497,   0.47700,   8.47000,   9.30286
  498,   0.42400,   8.32000,   9.32055
  499,   0.37790,   9.70000,   9.34721
  500,   0.33960,   8.18000,   9.38126
  501,   0.30710,  10.63000,   9.42082
  502,   0.27900,   7.37000,   9.46385
  503,   0.25460,   9.27000,   9.50837
  504,   0.23320,   8.94000,   9.55252
